"Dependentes","Estado.Civil","Idade","Conta.Poupanca","Conta.Salario","Cheque.Sem.Fundo","Conta.Conjunta","Valor.Emprestimo","Multa","Juros","Valor.Emprestimo.Atualizado","PAGO","ID"
2,2,2,2,1,1,1,2,2,1,1,1,1388320
1,2,2,2,1,1,1,3,2,2,2,1,1414705
2,2,2,2,1,1,1,2,1,1,1,1,1409167
2,4,1,2,1,1,1,2,1,2,2,1,1397533
1,2,3,2,1,1,1,2,1,1,1,1,1400671
1,8,3,2,1,1,1,2,2,2,2,1,21643599268
2,4,2,2,1,1,1,2,2,2,2,1,1322422
2,2,1,2,1,1,1,2,1,1,1,1,1471231
1,4,1,2,1,1,1,2,1,2,2,1,1377493
2,2,2,2,1,1,1,2,2,1,1,1,1428565
1,2,2,2,1,2,1,3,3,3,3,1,1420213
1,4,2,2,1,1,1,2,1,2,2,1,1368340
2,3,3,2,1,2,1,2,1,2,2,1,1499764
1,4,1,2,1,1,1,2,2,1,2,1,1481335
1,4,2,1,1,1,1,2,3,3,2,1,1348999
1,8,1,1,1,1,1,2,1,1,1,1,1467940
1,2,1,2,1,2,1,3,3,3,3,1,1394866
1,2,1,2,2,1,2,2,2,2,1,1,21646664068
2,2,3,2,1,1,1,2,2,2,1,1,1349851
1,4,2,2,1,1,1,2,3,2,2,1,1343764
1,4,2,2,1,1,1,2,3,2,2,1,1380676
1,8,1,1,1,1,1,2,1,1,1,1,1401145
2,2,1,2,1,1,1,3,2,2,3,1,1475116
2,2,2,2,1,1,1,3,2,3,3,1,1433383
2,2,3,2,1,1,1,3,3,3,3,1,46952314
1,2,2,2,2,1,2,2,2,2,1,1,21649978468
1,8,3,1,1,1,1,2,3,3,3,1,1349584
1,4,2,2,1,1,1,2,1,2,2,1,1326046
2,2,2,2,1,1,1,2,1,2,2,1,1460713
2,2,1,2,1,2,1,3,2,2,3,1,1501324
1,2,1,2,1,2,1,3,3,3,3,1,1475299
1,2,3,2,1,2,1,3,3,3,3,1,46972348
2,2,1,2,1,1,1,2,1,1,1,1,47019064
1,8,1,1,1,1,1,2,1,1,1,1,1439440
1,4,1,2,1,1,1,3,1,2,2,1,1380910
1,4,3,2,1,1,1,2,3,3,3,1,1309618
1,8,3,1,1,2,1,2,3,2,2,1,1385089
2,2,2,2,1,1,1,2,1,1,1,1,1475839
1,8,2,1,1,1,1,2,2,1,1,1,1378645
2,2,2,2,1,1,1,2,3,3,3,1,16805513671
1,8,3,2,2,1,1,2,3,3,3,1,16816532077
1,2,3,2,1,1,1,2,1,1,1,1,1428085
2,2,3,2,1,1,1,2,1,1,1,1,1335496
1,4,3,2,1,1,1,3,2,3,3,1,1359175
2,2,2,2,1,2,1,2,2,2,2,1,46962244
2,2,1,2,1,1,1,3,1,2,2,1,1413076
1,2,3,2,1,1,2,3,3,3,3,1,1376113
2,2,3,2,1,2,1,2,2,1,1,1,1434448
1,4,1,2,1,1,1,3,1,2,2,1,1394623
1,2,2,2,1,1,1,2,3,3,3,1,16845444868
2,2,3,2,1,2,1,2,2,1,1,1,1315048
2,2,2,2,1,1,1,2,1,2,1,1,1386352
2,2,2,2,1,1,1,2,2,2,2,1,1356607
1,2,3,2,1,2,1,2,2,1,1,1,1453342
1,4,2,2,2,1,1,2,2,2,2,1,1356955
1,4,3,2,1,2,1,2,2,2,2,1,46957354
1,2,2,2,2,1,1,2,2,1,1,1,1350721
1,8,2,1,1,1,1,2,2,2,1,1,16825227268
1,4,1,2,1,1,1,2,2,1,1,1,1387582
1,2,3,2,1,1,1,3,1,2,2,1,1395202
2,2,3,2,1,1,1,2,1,2,2,1,1369627
2,2,2,2,1,1,1,2,2,2,1,1,1375792
1,4,2,2,1,1,1,3,2,3,3,1,1349809
1,4,2,2,1,1,1,2,2,2,1,1,1312543
1,4,3,2,1,1,1,2,3,3,3,1,1370368
1,2,3,2,1,1,1,2,3,3,3,1,21601592068
2,2,1,2,1,1,1,2,3,2,2,1,1369906
1,4,3,2,1,1,1,3,3,3,3,1,21607119268
1,2,2,2,1,2,1,2,3,1,2,1,1488889
1,8,2,1,1,1,1,2,1,2,2,1,1345444
2,2,1,2,1,2,1,3,2,2,3,1,1460710
2,2,3,2,1,2,1,2,3,2,2,1,16850242471
2,2,3,2,1,1,1,2,1,1,1,1,1423636
1,2,1,2,1,1,1,3,1,2,2,1,1395976
2,2,2,2,1,2,1,3,1,2,2,1,1384834
1,4,2,2,1,1,1,2,3,3,3,1,1335151
1,8,3,1,1,1,1,3,2,3,3,1,1372039
2,2,1,2,1,1,1,3,2,2,2,1,1467760
2,2,1,2,1,2,1,3,2,2,2,1,1472518
2,4,2,2,1,1,1,2,1,2,2,1,1311058
1,2,3,2,1,2,1,2,1,2,2,1,1437454
